Nominal mass	Compositions	Charges
88	H8C3N2O,H8C2CxN2O,H8CCx2N2O	-1,1
88	H12C4N2,H12C3CxN2,H12C2Cx2N2,H12CCx3N2	1
89	HO2Fe,HOOxFe	-1,1
89	H3C2NO3,H3CCxNO3,H3C2NO2Ox	-1
89	H7C3NS,H7C2CxNS,H7C3NSx,H7CCx2NS	-1,1
89	H7C3NO2,H7C2CxNO2,H7C3NOOx,H7CCx2NO2,H7Cx3NO2	-1,1
89	H11C4NO,H11C3CxNO,H11C2Cx2NO,H11CCx3NO	1
90	CO2Na2,CxO2Na2,COOxNa2	1
90	H2C2O4,H2CCxO4,H2C2O3Ox	-1,1
90	H4C2NOS,H4CCxNOS,H4C2NOSx	1
90	H6C3O3,H6C2CxO3,H6C3O2Ox,H6CCx2O3,H6Cx3O3	-1,1
90	H6C2N2O2,H6CCxN2O2,H6C2N2OOx	1
90	H6C7,H6C6Cx,H6C5Cx2,H6C4Cx3	1
90	H10C4S,H10C3CxS,H10C4Sx,H10C2Cx2S	-1
90	H10C4O2,H10C3CxO2,H10C4OOx,H10C2Cx2O2	-1
91	H5C2NOS,H5CCxNOS,H5C2NOSx	-1,1
91	H9C3NO2,H9C2CxNO2,H9C3NOOx,H9CCx2NO2	1
92	H4CN2OS,H4CN2OSx	1
92	H8C2O2Si,H8CCxO2Si,H8C2OOxSi	-1
92	H8C3OS,H8C2CxOS,H8C3OSx,H8CCx2OS	1
92	H4C5N2,H4C4CxN2,H4C3Cx2N2,H4C2Cx3N2	-1,1
92	H8C3O3,H8C2CxO3,H8C3O2Ox,H8CCx2O3	-1,1
92	H6C6N,H6C5CxN,H6C4Cx2N,H6C3Cx3N	1
92	H8C7,H8C6Cx,H8C4Cx3	1
93	H3C4N3,H3C3CxN3,H3C2Cx2N3,H3CCx3N3	-1,1
93	H5C6O,H5C5CxO,H5C4Cx2O,H5C3Cx3O	1
93	H7C6N,H7C5CxN,H7C4Cx2N,H7C3Cx3N	-1,1
94	OK2	1
94	H3OAs	-1
94	H3C2O2Cl,H3CCxO2Cl,H3C2O2Clx,H3C2OOxCl	-1
94	HC3F3,HC2CxF3	-1
94	H6CO3Si,H6CO2OxSi	-1
94	H6C2O2S,H6CCxO2S,H6C2O2Sx,H6C2OOxS	-1
94	H2C4N2O,H2C3CxN2O,H2C2Cx2N2O,H2CCx3N2O	-1,1
94	H6C2O4,H6C2O3Ox	-1
94	H6C6O,H6C5CxO,H6C4Cx2O,H6C3Cx3O	-1,1
94	H6C5N2,H6C4CxN2,H6C3Cx2N2,H6C2Cx3N2	-1,1
94	H10C7,H10C6Cx,H10C4Cx3	-1,1
95	H5CNO2S	-1
95	H5C5NO,H5C4CxNO,H5C3Cx2NO,H5C2Cx3NO	-1,1
95	H5C4N3,H5C3CxN3,H5CCx3N3	-1,1
95	H10C3NCl,H10C2CxNCl,H10C3NClx	1
95	H9C6N,H9C5CxN,H9C3Cx3N	1
96	NaClK-H	1
96	HOBr	-1
96	H2C2Cl2,H2CCxCl2,H2C2ClClx	1
96	H4O4Si,H4O3OxSi	-1
96	H4CO3S,H4CO3Sx,H4CO2OxS	-1
96	H5C3O2Na,H5C2CxO2Na,H5C3OOxNa,H5CCx2O2Na	-1
96	H4C5O2,H4C4CxO2,H4C5OOx,H4C3Cx2O2,H4C2Cx3O2	-1,1
96	H4C4N2O,H4C3CxN2O,H4C2Cx2N2O,H4CCx3N2O	-1,1
96	H8CN2O3,H8CN2O2Ox	1
96	H8C6O,H8C5CxO,H8C4Cx2O,H8C3Cx3O	-1,1
96	H8C5N2,H8C4CxN2,H8C3Cx2N2,H8C2Cx3N2	-1,1
96	H12C7,H12C6Cx,H12C4Cx3	1
97	HS3,HS2Sx	-1
97	HO4S,HO4Sx	-1
97	H2O4P,H2O3OxP	-1
97	H3NO3S,H3NO3Sx,H3NO2OxS	-1
97	H2C5Cl,H2C4CxCl,H2C3Cx2Cl,H2C2Cx3Cl	1
97	H4NO3P,H4NO2OxP	-1,1
97	H4CNO2Cl,H4CNO2Clx,H4CNOOxCl	-1
97	H3C4NO2,H3C3CxNO2,H3C4NOOx,H3C2Cx2NO2,H3CCx3NO2	-1,1
97	H3C3N3O,H3C2CxN3O	-1
97	H7C5NO,H7C4CxNO,H7C3Cx2NO,H7C2Cx3NO	-1,1
97	H7C4N3,H7C3CxN3,H7C2Cx2N3,H7CCx3N3	-1,1
97	H11C6N,H11C5CxN,H11C4Cx2N,H11C3Cx3N	1
98	H2O4S,H2O4Sx,H2O3OxS	-1,1
98	H3O4P,H3O3OxP	-1,1
98	H3C2O2K,H3CCxO2K,H2HxC2O2K,H3C2OOxK	-1,1
98	H3C5Cl,H3C4CxCl,H3C5Clx	-1
98	H6C5O2,H6C4CxO2,H6C5OOx,H6C3Cx2O2,H6C2Cx3O2	-1,1
98	H6C4N2O,H6C3CxN2O,H6C2Cx2N2O,H6CCx3N2O	-1,1
98	H10C6O,H10C5CxO,H10C4Cx2O,H10C3Cx3O	-1,1
98	H10C5N2,H10C4CxN2,H10C3Cx2N2,H10C2Cx3N2	1
98	H14C7,H14C6Cx,H14C4Cx3	1
99	H3C4O3,H3C3CxO3,H3C4O2Ox,H3C2Cx2O3,H3CCx3O3	-1
99	H5C4NS,H5C3CxNS,H5C4NSx,H5C2Cx2NS,H5CCx3NS	1
99	H5C4NO2,H5C3CxNO2,H5C4NOOx,H5C2Cx2NO2,H5CCx3NO2	-1,1
99	H5C3N3O,H5C2CxN3O,H5CCx2N3O	-1,1
99	H9C5NO,H9C4CxNO,H9C3Cx2NO,H9C2Cx3NO	-1,1
99	H9C4N3,H9C3CxN3,H9C2Cx2N3,H9CCx3N3	1
99	H13C6N,H13C5CxN,H13C4Cx2N,H13C3Cx3N	1
100	HCO3K,HCO2OxK	-1
100	HO4Cl,HO4Clx,HO3OxCl	-1
100	HO3FS,HO3FSx,HO2OxFS	-1
100	H5C2ONaS,H5CCxONaS,H5C2ONaSx	1
100	H4C3N2S,H4C2CxN2S,H4C3N2Sx,H4CCx2N2S	1
100	H3C2OF3,H3CCxOF3	-1
100	H5C2O3Na,H5CCxO3Na,H5C2O2OxNa	-1
100	H4C4O3,H4C3CxO3,H4C4O2Ox,H4C2Cx2O3,H4CCx3O3	-1,1
100	H4C3N2O2,H4C2CxN2O2,H4C3N2OOx,H4CCx2N2O2	-1,1
100	H8C5O2,H8C4CxO2,H8C5OOx,H8C3Cx2O2,H8C2Cx3O2	-1,1
100	H8C4N2O,H8C3CxN2O,H8C2Cx2N2O,H8CCx3N2O,H8Cx4N2O	-1,1
100	H12C6O,H12C5CxO,H12C4Cx2O,H12C3Cx3O	-1,1
100	H12C5N2,H12C4CxN2,H12C3Cx2N2,H12C2Cx3N2	1
101	H3C2N3S,H3CCxN3S,H3C2N3Sx	1
101	H7C4NS,H7C3CxNS,H7C4NSx,H7C2Cx2NS,H7CCx3NS	-1,1
101	H7C4NO2,H7C3CxNO2,H7C4NOOx,H7C2Cx2NO2,H7CCx3NO2,H7Cx4NO2	-1,1
101	H7C2N5,H7CCxN5	1
101	H11C5NO,H11C4CxNO,H11C3Cx2NO,H11C2Cx3NO	1
101	H15C6N,H15C5CxN,H15C4Cx2N,H15C3Cx3N	1
102	H3O4Cl,H3O4Clx,H3O3OxCl	-1
102	H3CO4Na,H3CO3OxNa	-1
102	H6C4O3,H6C3CxO3,H6C4O2Ox,H6C2Cx2O3,H6CCx3O3	-1,1
102	H6C3N2O2,H6C2CxN2O2,H6C3N2OOx,H6CCx2N2O2	-1,1
102	H6C8,H6C7Cx,H6C6Cx2,H6C5Cx3	1
102	H10C5O2,H10C4CxO2,H10C5OOx,H10C3Cx2O2,H10C2Cx3O2	-1,1
102	H10C4N2O,H10C3CxN2O,H10C2Cx2N2O,H10CCx3N2O	-1,1
102	H14C5N2,H14C4CxN2,H14C3Cx2N2,H14C2Cx3N2	1
103	H2CNaPCl,H2CNaPClx	1
103	H3CO2Fe,H3COOxFe	1
103	H5C3NO3,H5C2CxNO3,H5C3NO2Ox,H5CCx2NO3	-1,1
103	H5C2N3O2,H5CCxN3O2,H5C2N3OOx	1
103	H5C7N,H5C6CxN,H5C5Cx2N,H5C4Cx3N	1
103	H9C4NS,H9C3CxNS,H9C4NSx,H9C2Cx2NS,H9CCx3NS	1
103	H9C4NO2,H9C3CxNO2,H9C4NOOx,H9C2Cx2NO2,H9CCx3NO2	-1,1
103	H13C5NO,H13C5NxO,H13C4CxNO,H12HxC5NO,H13C4CxNxO,H13C5NOx,H13C3Cx2NO,H12HxC4CxNO,H13C2Cx3NO	1
104	H4C3S2,H4C2CxS2,H4C3SSx,H4CCx2S2	-1
104	H4C3O2S,H4C2CxO2S,H4C3O2Sx,H4C3OOxS,H4CCx2O2S	1
104	H4C3O4,H4C2CxO4,H4C3O3Ox,H4CCx2O4	-1
104	H4C2N2O3,H4CCxN2O3,H4C2N2O2Ox	-1
104	H4C7O,H4C6CxO,H4C5Cx2O,H4C4Cx3O	1
104	H8C4OS,H8C3CxOS,H8C4OSx,H8C2Cx2OS,H8CCx3OS	-1,1
104	H4C6N2,H4C5CxN2,H4C4Cx2N2,H4C3Cx3N2	1
104	H8C4O3,H8C3CxO3,H8C4O2Ox,H8C2Cx2O3,H8CCx3O3	-1,1
104	H8C3N2O2,H8C2CxN2O2,H8C3N2OOx,H8CCx2N2O2	-1,1
104	H8C8,H8C7Cx,H8C6Cx2,H8C5Cx3	1
104	H12C5O2,H12C4CxO2,H12C5OOx,H12C3Cx2O2,H12C2Cx3O2	-1,1
105	H4C2NPS,H4CCxNPS,H4C2NPSx	1
105	H3C2NO4,H3CCxNO4,H3C2NO3Ox	-1
105	H3C5N3,H3C4CxN3,H3C3Cx2N3,H3C2Cx3N3	-1
105	H7C3NO3,H7C3NxO3,H7C2CxNO3,H7C3NO2Ox,H7CCx2NO3	-1,1
105	H5C6N2,H5C5CxN2,H5C4Cx2N2,H5C3Cx3N2	1
105	H7C7N,H7C6CxN,H7C5Cx2N,H7C4Cx3N	1
105	H11C4NS,H11C3CxNS,H11C4NSx,H11C2Cx2NS,H11CCx3NS	1
105	H11C4NO2,H11C3CxNO2,H11C4NOOx,H11C2Cx2NO2	-1,1
106	O3NaCl,O3NaClx,O2OxNaCl	1
106	H3C2OPS,H3CCxOPS	1
106	CO3Na2,CO2OxNa2	1
106	H6C3O2S,H6C2CxO2S,H6C3O2Sx,H6CCx2O2S	-1
106	H6C3O4,H6C2CxO4,H6C3O3Ox,H6CCx2O4	-1
106	H6C7O,H6C6CxO,H6C5Cx2O,H6C4Cx3O	1
106	H10C4OS,H10C3CxOS,H10C4OSx,H10C2Cx2OS,H10CCx3OS	-1,1
106	H6C6N2,H6C5CxN2,H6C4Cx2N2,H6C3Cx3N2	-1,1
106	H10C4O3,H10C3CxO3,H10C4O2Ox,H10C2Cx2O3,H10CCx3O3	-1,1
106	H10C8,H10C7Cx,H10C5Cx3	1
107	H3O3Fe,H3O2OxFe	-1,1
107	H5C6NO,H5C5CxNO,H5C4Cx2NO,H5C3Cx3NO	1
107	H5C5N3,H5C4CxN3,H5C3Cx2N3,H5C2Cx3N3	-1,1
107	H7C7O,H7C6CxO,H7C5Cx2O,H7C4Cx3O	-1
107	H10C4NCl,H10C3CxNCl,H10C4NClx,H10C2Cx2NCl,H10CCx3NCl	1
107	H9C7N,H9C6CxN,H9C5Cx2N,H9C4Cx3N	1
108	H4C6O2,H4C5CxO2,H4C6OOx,H4C4Cx2O2,H4C3Cx3O2	1
108	H4C5N2O,H4C4CxN2O,H4C3Cx2N2O,H4C2Cx3N2O	-1,1
108	H4C4N4,H4C3CxN4,H4C2Cx2N4,H4CCx3N4	-1,1
108	H8C7O,H8C6CxO,H8C5Cx2O,H8C4Cx3O	-1,1
108	H8C6N2,H8C5CxN2,H8C4Cx2N2,H8C3Cx3N2	-1,1
108	H12C8,H12C7Cx,H12C6Cx2,H12C5Cx3	1
109	HC2NCl2,HCCxNCl2,HC2NClClx	-1
109	H3C5NO2,H3C4CxNO2,H3C5NOOx,H3C3Cx2NO2,H3C2Cx3NO2	1
109	H7C2NO2S,H7CCxNO2S,H7C2NO2Sx,H7C2NOOxS	-1,1
109	H5C6O2,H5C5CxO2,H5C6OOx,H5C4Cx2O2,H5C3Cx3O2	-1,1
109	H7C6NO,H7C5CxNO,H7C4Cx2NO,H7C3Cx3NO	-1,1
109	H7C5N3,H7C4CxN3,H7C3Cx2N3,H7C2Cx3N3	-1,1
109	H11C7N,H11C6CxN,H11C5Cx2N,H11C4Cx3N	1
110	H2CS3,H2CS2Sx	-1
110	H2C5O3,H2C4CxO3,H2C5O2Ox,H2C3Cx2O3,H2C2Cx3O3	-1,1
110	H6CO4Si,H6CO3OxSi	-1
110	H6C2O3S,H6CCxO3S,H6C2O3Sx,H6C2O2OxS	-1
110	H7C2O3P,H7CCxO3P,H7C2O2OxP	1
110	H6C6S,H6C5CxS,H6C6Sx,H6C4Cx2S,H6C3Cx3S	1
110	H6C6O2,H6C5CxO2,H6C6OOx,H6C4Cx2O2,H6C3Cx3O2	-1,1
110	H6C5N2O,H6C4CxN2O,H6C3Cx2N2O,H6C2Cx3N2O	-1,1
110	H10C7O,H10C6CxO,H10C5Cx2O,H10C4Cx3O	-1,1
110	H10C6N2,H10C5CxN2,H10C4Cx2N2,H10C3Cx3N2	-1,1
110	H14C8,H14C7Cx,H14C6Cx2,H14C5Cx3	1
111	HC8N,HC7CxN,HC6Cx2N,HC5Cx3N	1
111	H5C5NO2,H5C4CxNO2,H5C5NOOx,H5C3Cx2NO2,H5C2Cx3NO2	-1,1
111	H5C4N3O,H5C3CxN3O,H5C2Cx2N3O,H5CCx3N3O	-1,1
111	H5C3N5,H5C2CxN5,H5CCx2N5	1
111	H9C6NO,H9C5CxNO,H9C4Cx2NO,H9C3Cx3NO	-1,1
111	H9C5N3,H9C4CxN3,H9C3Cx2N3,H9C2Cx3N3	-1,1
111	H13C7N,H13C6CxN,H13C5Cx2N,H13C4Cx3N	1
112	SSe,SxSe	1
112	H2OMgCl2,H2OMgClClx	-1
112	H2C2OCl2,H2CCxOCl2,H2C2OClClx	-1,1
112	H4CO4S,H4CO4Sx,H4CO3OxS	-1
112	H5CO4P,H5CO3OxP	-1,1
112	H5C6Cl,H5C5CxCl,H5C6Clx,H5C4Cx2Cl,H5C3Cx3Cl	-1
112	H4C4N2S,H4C3CxN2S,H4C4N2Sx,H4C2Cx2N2S,H4CCx3N2S	1
112	H4C5O3,H4C4CxO3,H4C5O2Ox,H4C3Cx2O3,H4C2Cx3O3	-1,1
112	H4C4N2O2,H4C3CxN2O2,H4C4N2OOx,H4C2Cx2N2O2,H4CCx3N2O2	-1,1
112	H4C3N4O,H4C2CxN4O,H4CCx2N4O	-1,1
112	H8C6O2,H8C5CxO2,H8C6OOx,H8C4Cx2O2,H8C3Cx3O2	-1,1
112	H8C5N2O,H8C4CxN2O,H8C3Cx2N2O,H8C2Cx3N2O	-1,1
112	H12C7O,H12C6CxO,H12C5Cx2O,H12C4Cx3O	-1,1
112	H12C6N2,H12C5CxN2,H12C4Cx2N2,H12C3Cx3N2	1
112	H16C8,H16C7Cx,H16C6Cx2,H16C5Cx3	1
113	HO5S,HO5Sx,HO4OxS	-1
113	H4NO4P,H4NO3OxP	1
113	H3C4NO3,H3C3CxNO3,H3C4NO2Ox,H3C2Cx2NO3,H3CCx3NO3	-1
113	H3C3N3O2,H3C2CxN3O2,H3C3N3OOx,H3CCx2N3O2	-1,1
113	H5C5O3,H5C4CxO3,H5C5O2Ox,H5C3Cx2O3,H5C2Cx3O3	-1
113	H7C5NS,H7C4CxNS,H7C5NSx,H7C3Cx2NS,H7C2Cx3NS	-1,1
113	H7C5NO2,H7C4CxNO2,H7C5NOOx,H7C3Cx2NO2,H7C2Cx3NO2	-1,1
113	H7C4N3O,H7C3CxN3O,H7C2Cx2N3O,H7CCx3N3O	-1,1
113	H11C6NO,H11C5CxNO,H11C4Cx2NO,H11C3Cx3NO	1
113	H11C5N3,H11C4CxN3,H11C3Cx2N3,H11C2Cx3N3	1
113	H15C7N,H15C6CxN,H15C5Cx2N,H15C4Cx3N	1
114	Cd	-1
114	H2O3S2,H2O3SSx,H2O2OxS2	-1
114	HC2O2F3,HCCxO2F3,HC2OOxF3	-1
114	H2C4O4,H2C3CxO4,H2C4O3Ox,H2C2Cx2O4,H2CCx3O4	-1
114	H2C3N2O3,H2C2CxN2O3,H2C3N2O2Ox,H2CCx2N2O3	-1
114	H6N2O3S,H6N2O3Sx,H6N2O2OxS	1
114	H6C5OS,H6C4CxOS,H6C5OSx,H6C3Cx2OS,H6C2Cx3OS	1
114	H6C4N2S,H6C3CxN2S,H6C4N2Sx,H6C2Cx2N2S,H6CCx3N2S	-1
114	H5C3OF3,H5C2CxOF3,H5CCx2OF3	1
114	H6C5O3,H6C4CxO3,H6C5O2Ox,H6C3Cx2O3,H6C2Cx3O3	-1,1
114	H6C4N2O2,H6C3CxN2O2,H6C4N2OOx,H6C2Cx2N2O2,H6CCx3N2O2	-1,1
114	H6C9,H6C8Cx,H6C7Cx2,H6C6Cx3	1
114	H10C6S,H10C5CxS,H10C6Sx,H10C4Cx2S,H10C3Cx3S	-1
114	H10C6O2,H10C5CxO2,H10C6OOx,H10C4Cx2O2,H10C3Cx3O2	-1,1
114	H10C5N2O,H10C4CxN2O,H10C3Cx2N2O,H10C2Cx3N2O	-1,1
114	H10C4N4,H10C3CxN4,H10C2Cx2N4,H10CCx3N4	1
114	H14C7O,H14C6CxO,H14C5Cx2O,H14C4Cx3O	-1,1
114	H14C6N2,H14C5CxN2,H14C4Cx2N2,H14C3Cx3N2	1
115	H6NO4P,H6NO3OxP	1
115	H5C4NOS,H5C3CxNOS,H5C4NOSx,H5C2Cx2NOS,H5CCx3NOS	1
115	H5C4NO3,H5C3CxNO3,H5C4NO2Ox,H5C2Cx2NO3,H5CCx3NO3	-1,1
115	H9C5NS,H9C4CxNS,H9C5NSx,H9C3Cx2NS,H9C2Cx3NS	-1,1
115	H7C9,H7C8Cx,H7C7Cx2,H7C6Cx3	-1,1
115	H9C5NO2,H9C5NxO2,H9C4CxNO2,H8HxC5NO2,H9C4CxNxO2,H9C5NOOx,H9C3Cx2NO2,H8HxC4CxNO2,H9C2Cx3NO2,H9Cx5NO2	-1,1
115	H13C6NO,H13C5CxNO,H13C4Cx2NO,H13C3Cx3NO	1
115	H17C7N,H17C6CxN,H17C5Cx2N,H17C4Cx3N	1
116	H5O5P,H5O4OxP	-1,1
116	H4C4O4,H4C3CxO4,H4C4O3Ox,H4C2Cx2O4,H4CCx3O4	-1,1
116	C5N4,C4CxN4,C3Cx2N4,C2Cx3N4	1
116	H4C3N2O3,H4C2CxN2O3,H4C3N2O2Ox,H4CCx2N2O3	-1
116	H8C5OS,H8C4CxOS,H8C5OSx,H8C3Cx2OS,H8C2Cx3OS	-1
116	H8C5O3,H8C4CxO3,H8C5O2Ox,H8C3Cx2O3,H8C2Cx3O3	-1,1
116	H6C8N,H6C7CxN,H6C6Cx2N,H6C5Cx3N	1
116	H8C4N2O2,H8C4NNxO2,H8C3CxN2O2,H7HxC4N2O2,H8C4N2OOx,H8C2Cx2N2O2,H8CCx3N2O2	-1,1
116	H8C9,H8C8Cx,H8C7Cx2,H8C6Cx3	1
116	H12C6S,H12C5CxS,H12C6Sx,H12C4Cx2S,H12C3Cx3S	-1
116	H12C6O2,H12C5CxO2,H12C6OOx,H12C4Cx2O2,H12C3Cx3O2	-1,1
116	H12C5N2O,H12C4CxN2O,H12C3Cx2N2O,H12C2Cx3N2O	1
116	H12C4N4,H12C3CxN4,H12C2Cx2N4,H12CCx3N4	1
116	H16C6N2,H16C5CxN2,H16C4Cx2N2,H16C3Cx3N2	1
117	H4NO4Cl,H4NO4Clx,H4NO3OxCl	-1
117	H3C3NO4,H3C2CxNO4,H3C3NO3Ox,H3CCx2NO4	-1
117	H7C4NOS,H7C3CxNOS,H7C4NOSx,H7C2Cx2NOS,H7CCx3NOS	-1,1
117	H7C4NO3,H7C3CxNO3,H7C4NO2Ox,H7C2Cx2NO3,H7CCx3NO3	-1,1
117	H7C3N3O2,H7C2CxN3O2,H7C3N3OOx,H7CCx2N3O2	-1,1
117	H7C8N,H7C7CxN,H7C6Cx2N,H7C5Cx3N	-1,1
117	H11C5NO2,H11C5NxO2,H11C4CxNO2,H10HxC5NO2,H11C4CxNxO2,H11C5NOOx,H11C3Cx2NO2,H10HxC4CxNO2,H11C2Cx3NO2	-1,1
117	H15C6NO,H15C5CxNO,H15C4Cx2NO,H15C3Cx3NO	1
118	H2O4Cr,H2O3OxCr	-1
118	H3O4V,H3O3OxV	-1
118	H3O5Cl,H3O5Clx,H3O4OxCl	-1
118	H2C3O5,H2C2CxO5,H2C3O4Ox,H2CCx2O5	-1
118	H6C4O2S,H6C3CxO2S,H6C4O2Sx,H6C4OOxS,H6C2Cx2O2S,H6CCx3O2S	-1,1
118	H6C4O4,H6C3CxO4,H6C4O3Ox,H6C2Cx2O4,H6CCx3O4	-1,1
118	H2C5N4,H2C4CxN4,H2C3Cx2N4,H2C2Cx3N4	1
118	H6C3N2O3,H6C2CxN2O3,H6C3N2O2Ox,H6CCx2N2O3	-1,1
118	H6C8O,H6C7CxO,H6C6Cx2O,H6C5Cx3O	-1,1
118	H10C5OS,H10C4CxOS,H10C5OSx,H10C3Cx2OS,H10C2Cx3OS	-1,1
118	H6C7N2,H6C6CxN2,H6C5Cx2N2,H6C4Cx3N2	1
118	H11C6Cl,H11C5CxCl,H11C6Clx,H11C4Cx2Cl,H11C3Cx3Cl	1
118	H10C5O3,H10C4CxO3,H10C5O2Ox,H10C3Cx2O3,H10C2Cx3O3	-1,1
118	H10C4N2O2,H10C3CxN2O2,H10C4N2OOx,H10C2Cx2N2O2,H10CCx3N2O2	-1,1
118	H10C9,H10C8Cx,H10C7Cx2,H10C6Cx3	1
118	H14C6O2,H14C5CxO2,H14C6OOx,H14C4Cx2O2,H14C3Cx3O2	-1,1
118	H14C5N2O,H14C4CxN2O,H14C3Cx2N2O,H14C2Cx3N2O	1
119	H5C3NO2S,H5C2CxNO2S,H5C3NO2Sx,H5C3NOOxS,H5CCx2NO2S	1
119	H5C3NO4,H5C2CxNO4,H5C3NO3Ox,H5CCx2NO4	-1
119	H5C7NO,H5C6CxNO,H5C5Cx2NO,H5C4Cx3NO	-1,1
119	H9C4NOS,H9C3CxNOS,H9C4NOSx,H9C2Cx2NOS,H9CCx3NOS	1
119	H5C6N3,H5C5CxN3,H5C4Cx2N3,H5C3Cx3N3	-1,1
119	H9C4NO3,H9C4NxO3,H9C3CxNO3,H9C4NO2Ox,H9C2Cx2NO3,H9CCx3NO3	-1,1
119	H9C3N3O2,H9C2CxN3O2,H9C3N3OOx,H9CCx2N3O2	1
119	H9C8N,H9C7CxN,H9C6Cx2N,H9C5Cx3N	-1,1
119	H13C5NO2,H13C4CxNO2,H13C5NOOx,H13C3Cx2NO2,H13C2Cx3NO2	1
120	HO4Mn,HO3OxMn	-1
120	HO4NaS,HO4NaSx,HO3OxNaS	-1
120	H2O4NaP,H2O3OxNaP	-1,1
120	H4C3OS2,H4C2CxOS2,H4C3OSSx,H4CCx2OS2	-1
