m/z	count
132.867858704193	22
232.883317019328	17
102.956822809476	17
270.797980927381	16
163.839567458487	16
154.88075348859	16
268.800977895997	15
665.284902182198	15
390.891682349526	15
352.832800021194	15
352.832505098948	15
154.918749878074	15
208.845310556457	14
741.345093791501	14
727.339846812509	14
691.261225902685	14
362.940584315724	14
330.850783742507	14
330.841741534719	14
202.941390037567	14
135.894793393893	14
117.928666863696	14
194.868586594457	13
434.865222273165	13
168.836221344875	13
310.901892402181	13
266.803840071006	13
222.764806771331	13
180.826997549641	13
164.836105403796	13
791.333343473356	13
791.32274559463	13
791.321651553693	13
771.336743025262	13
755.351879472882	13
745.310798954568	13
727.341195784807	13
710.821799025301	13
709.11360068086	13
699.299628422301	13
694.325993500617	13
692.322782942081	13
692.3217182241	13
688.832718486592	13
680.820952543212	13
671.250542945825	13
664.28083669366	13
657.34788895767	13
656.284535157856	13
644.320664529624	13
638.273628137806	13
638.27318988911	13
628.325034957693	13
607.345404583843	13
607.344437149754	13
554.767091479815	13
362.94078617932	13
330.841835060422	13
330.841652432907	13
278.879697247945	13
278.878960418112	13
216.909386471511	13
186.856057097723	13
158.925372550235	13
150.962825895068	13
146.96117484929	13
114.93424685385	13
354.828470164982	12
845.480548582211	12
830.592479405705	12
176.817344296589	12
150.946822988962	12
134.894663979447	12
132.900196065519	12
178.977913057117	12
156.894841286243	12
154.928229014867	12
150.886644653841	12
310.901658371354	12
226.816316858665	12
697.359792082521	12
754.502492578429	12
697.355059198379	12
796.331217216138	12
791.334160869207	12
791.332175494667	12
791.322468513923	12
791.318769378163	12
788.412794793618	12
786.401385789126	12
785.435518116479	12
785.435391220228	12
785.42941175698	12
778.486657797678	12
775.372274092686	12
771.341339142185	12
747.289623266893	12
745.238958207197	12
739.337380586716	12
739.285847432147	12
738.758379691302	12
737.289935157226	12
737.283325692282	12
731.436319446809	12
730.35851558573	12
729.246340653514	12
723.373574435293	12
719.820408607435	12
710.822862098318	12
709.270223581379	12
705.277678228867	12
703.186579853336	12
697.25482850242	12
696.564019416295	12
695.398933212373	12
692.323200071096	12
691.262970133427	12
680.805541226126	12
680.801329482582	12
680.800758718014	12
680.381648901013	12
672.150943886479	12
666.289460939603	12
665.289836583235	12
664.364704534657	12
664.280510295922	12
