m/z	count
685.436861023053	24
369.351504283383	21
206.893896333572	21
708.488986598675	21
644.494831434702	20
484.38430802141	20
685.436963455623	20
628.498784826687	20
613.339531181455	20
570.457216565732	19
556.44163688391	19
708.489489614801	19
613.341399505743	19
584.472463412423	19
308.279434383928	19
226.012182161393	18
572.436815690924	18
686.439815650682	18
678.463731724095	18
677.460040259948	18
613.339371665734	18
540.447507008327	18
540.446922771318	18
540.446588045553	18
514.394745801596	18
484.384496236254	18
352.305746405399	18
681.482316295182	17
696.844540958918	17
686.437568553234	17
685.435411164093	17
660.489380141704	17
658.473489083013	17
628.49863406505	17
614.343556236576	17
532.38368982741	17
528.410617979567	17
528.410069805013	17
353.352587167055	17
352.305604862475	17
325.321406175447	17
325.248510416111	17
147.983646135654	16
466.410244646551	16
727.461618643105	16
675.674903371277	16
272.944415119212	16
242.925409080434	16
532.384435008518	16
708.490287848881	16
703.473986807897	16
693.454864749625	16
693.454584975378	16
686.439146098825	16
686.438845159799	16
678.462391231346	16
665.920826754625	16
656.53054319982	16
602.410636144429	16
601.406940362269	16
528.409620331794	16
381.351384758232	16
371.358239077343	16
353.352295405126	16
243.210696305461	16
709.492282847536	15
681.481811426966	15
350.32632994541	15
532.384215455785	15
422.88216198918	15
368.871383184035	15
336.31072791313	15
310.912844253682	15
244.923577416094	15
198.862128828161	15
547.403307144067	15
528.410805483911	15
340.931757383151	15
193.973668750399	15
190.911948003093	15
686.440453420141	15
634.89257314215	15
613.341094896202	15
296.243144351208	15
795.544765372928	15
760.462394353925	15
718.83886885823	15
718.837500784467	15
716.550358262952	15
702.395817161974	15
696.845922284291	15
696.52599203685	15
686.441875351187	15
686.438674059697	15
685.435814286017	15
678.463234317128	15
678.461591954056	15
660.489841799392	15
656.52555770393	15
656.52447885881	15
646.437307864988	15
646.437125510754	15
613.558763546253	15
613.340281621299	15
613.33981950571	15
613.338440121188	15
572.436268875916	15
560.379381487319	15
560.379161694999	15
487.32416416015	15
481.400050626949	15
460.32685942855	15
341.316179091912	15
339.300574259172	15
336.325300898411	15
269.226290897188	15
174.992173388894	15
158.961319073071	15
142.958911460133	15
113.963674054454	15
854.583016075317	14
716.551451855482	14
703.214299363334	14
702.213210684693	14
681.480864690429	14
676.679350765522	14
675.676167487315	14
672.910035320574	14
658.474088294015	14
629.862924895918	14
616.426652464535	14
527.434615192163	14
304.894347087341	14
273.945199759946	14
196.865085819282	14
152.997423165126	14
558.421864288718	14
369.351568361034	14
313.365728192764	14
274.881326398471	14
186.956250594239	14
165.982979248155	14
122.547112125127	14
705.477891678856	14
628.499193813679	14
524.827123138195	14
484.38377445618	14
770.488340315165	14
740.445961308985	14
703.47511780348	14
703.471320276914	14
702.464701941314	14
696.523970163303	14
694.830601082876	14
693.45527206857	14
687.201860026747	14
686.4413932496	14
685.437476902011	14
685.435636466476	14
685.433831496043	14
678.462983418293	14
678.462064357497	14
677.4795555024	14
677.458914268055	14
677.457859850553	14
660.488389673266	14
658.473104730185	14
657.221667339287	14
656.52509706865	14
649.411239985007	14
639.304897877797	14
635.14681470105	14
617.437298820263	14
613.88292396799	14
613.521896308237	14
613.44257210217	14
612.520477571226	14
611.352657797709	14
610.365009920658	14
609.364319744878	14
609.360186956042	14
586.358796776818	14
584.472164516119	14
560.381439091316	14
555.85528449555	14
540.445759675429	14
532.36297595589	14
482.403805761202	14
482.403670929703	14
369.351344873092	14
353.352764240461	14
353.352451379145	14
340.710763398087	14
325.248918145953	14
314.341354599278	14
309.29809478056	14
239.211693643978	14
221.132073651107	14
141.958616398612	14
115.964094213271	14
681.482561264907	13
520.508751347735	13
513.418948998024	13
394.352517184199	13
337.329418041802	13
326.253657374222	13
288.922018198502	13
266.232577575961	13
181.162815441898	13
688.52018639988	13
572.437137005294	13
558.421298026252	13
554.462321396207	13
203.052115781495	13
839.338902379552	13
703.213701649426	13
703.213078924416	13
696.846682986201	13
687.441654342418	13
681.481377218211	13
658.509533935749	13
658.473888603872	13
642.862174990326	13
604.405857994943	13
558.421064343995	13
556.441707845343	13
556.441465822835	13
526.431078741208	13
513.418655811849	13
378.900223683136	13
366.321250368315	13
337.329298019695	13
326.253757160696	13
302.288287933598	13
239.211790497495	13
172.956342297028	13
138.906487531544	13
558.421993234928	13
181.988318352638	13
169.977337908494	13
164.920639565512	13
696.847022998018	13
613.339130664638	13
450.378664690632	13
799.522815076007	13
697.413028081209	13
628.499527328868	13
558.420308321075	13
546.840111743061	13
136.073276918912	13
770.489432163262	13
769.486343581172	13
769.485305445397	13
760.458388815195	13
760.402692245503	13
737.858878659114	13
737.571971752863	13
708.492440359949	13
708.420155562625	13
707.491369408353	13
696.845266913109	13
696.844349672193	13
696.525498184686	13
696.42054744981	13
696.419253737763	13
696.343781970382	13
694.923659813229	13
694.83284780303	13
694.830133230465	13
686.439678353118	13
686.437837131602	13
685.436596880662	13
685.435160831168	13
685.434919909387	13
679.456893234192	13
677.45915617262	13
677.458501499445	13
672.467374558113	13
660.488154488183	13
654.565901473661	13
652.873403360862	13
642.386336664043	13
642.382697628429	13
635.543953022323	13
630.509942836384	13
629.502099326938	13
614.345067994507	13
614.343908629897	13
614.343033141303	13
613.341644754655	13
613.340709602812	13
613.336913545277	13
612.519217230254	13
610.540636982467	13
609.364120610422	13
609.363171566934	13
609.360882967537	13
607.387954097866	13
599.881290589493	13
585.358486012777	13
584.471910607379	13
582.854894353003	13
572.437840018885	13
572.435462182933	13
560.381081350824	13
560.379044942604	13
553.388949937634	13
544.404960024992	13
543.401085868112	13
